File extension,Name
.py,point pie
.py,point pi
.talon,point talon
.md,point mark down
.sh,point shell
.vim,point vim
.c,point see
.cs,point see sharp
.com,point com
.net,point net
.org,point org
.us,point us
.us,point U S
.exe,point exe
.bin,point bin
.bin,point bend
.json,point jason
.json,point jay son
.js,point J S
.js,point java script
.js,point javascript
.ts,point TS
.ts,point type script
.ts,point typescript
.csv,point csv
.csv,point cassie
.txt,point text
.yaml,point yaml
.scm,point scheme
